"","Colony","AnimalID","Weight","Treatment","Date","Lat","Treatment_NB","Unfamiliar_Dur","Activity","Area"
"1","Gemsbok 3","G3F008",140,"Control",2015-02-07,35,1,364,83,10
"2","Gemsbok 3","G3F011",153,"Thigh",2015-02-07,40,1,439,54,10
"3","Gemsbok 13","G13F001",152,"Tlow",2015-02-12,11,1,356,58,10
"4","Gemsbok 13","G13F007",171,"Thigh",2015-02-12,76,1,56,10,5
"5","Gemsbok 10","G10F011",135,"Control",2015-02-14,2,1,180,54,7
"6","Gemsbok 10","G10F015",165,"Tlow",2015-02-14,10,1,392,68,9
"7","Gemsbok 11","G11F011",128,"Tlow",2015-02-19,14,1,369,72,10
"8","Gemsbok 11","G11F010",108,"Thigh",2015-02-19,23,1,191,51,8
"9","Gemsbok 3","G3F008",137,"Tlow",2015-02-21,7,2,563,74,9
"10","Gemsbok 3","G3F011",150,"Control",2015-02-21,42,2,244,34,7
"11","Gemsbok 13","G13F001",166,"Control",2015-02-26,66,2,173,29,8
"12","Gemsbok 13","G13F007",171.6666667,"Tlow",2015-02-26,39,2,134,19,6
"13","Gemsbok 10","G10F011",138,"Thigh",2015-02-28,1,2,351,54,7
"14","Gemsbok 10","G10F015",166,"Control",2015-02-28,2,2,332,71,9
"15","Gemsbok 11","G11F010",106,"Control",2015-03-05,33,2,281,67,9
"16","Gemsbok 11","G11F011",124,"Thigh",2015-03-05,4,2,370,64,8
"17","Gemsbok 3","G3F008",140,"Thigh",2015-03-07,20,3,433,72,10
"18","Gemsbok 3","G3F011",153,"Tlow",2015-03-07,31,3,341,70,9
"19","Gemsbok 13","G13F001",162,"Thigh",2015-03-12,18,3,192,40,10
"20","Gemsbok 13","G13F007",168,"Control",2015-03-12,61,3,104,18,8
"21","Gemsbok 10","G10F011",143,"Tlow",2015-03-14,2,3,218,61,8
"22","Gemsbok 10","G10F015",174,"Thigh",2015-03-14,6,3,244,74,10
"23","Gemsbok 4","G4F002",161,"Control",2015-03-17,166,1,334,141,10
"24","Gemsbok 4","G4F004",145,"Thigh",2015-03-17,39,1,252,73,10
"25","Gemsbok 11","G11F010",107,"Tlow",2015-03-19,21,3,268,72,8
"26","Gemsbok 11","G11F011",123,"Control",2015-03-19,6,3,398,56,7
"27","Lonely 6","L6F001",119,"Tlow",2015-03-21,216,1,76,9,3
"28","Lonely 6","L6F005",125,"Control",2015-03-21,1,1,186,22,5
"29","Gemsbok 11","G11F003",108,"Thigh",2015-03-24,36,1,361,90,10
"30","Gemsbok 11","G11F015",117,"Control",2015-03-24,33,1,512,68,8
"31","Gemsbok 4","G4F002",158,"Thigh",2015-03-29,6,2,473,187,10
"32","Gemsbok 4","G4F004",148,"Tlow",2015-03-29,17,2,242,68,10
"33","Lonely 6","L6F001",123,"Thigh",2015-04-04,600,2,0,0,1
"34","Lonely 6","L6F005",127,"Tlow",2015-04-04,42,2,404,41,8
"35","Gemsbok 11","G11F003",108,"Tlow",2015-04-06,26,2,165,33,7
"36","Gemsbok 11","G11F015",116,"Thigh",2015-04-06,3,2,318,51,8
"37","Gemsbok 4","G4F002",160,"Tlow",2015-04-15,8,3,237,121,10
"38","Gemsbok 4","G4F004",144,"Control",2015-04-15,9,3,149,49,9
"39","Lonely 6","L6F001",127,"Control",2015-04-18,376,3,60,7,3
"40","Lonely 6","L6F005",134,"Thigh",2015-04-18,600,3,0,0,1
"41","Gemsbok 11","G11F003",107,"Control",2015-04-21,24,3,204,56,9
"42","Gemsbok 11","G11F015",117,"Tlow",2015-04-21,6,3,287,56,10
