"","AnimalID","ExpStart","Treatment","Partner","SexPartner","PartnerBS","Pass_NB","Colony","Received","Bite","Chase","Displace","Overt","Pulltail","Retreat","Bouts_NB","Call_NB","Total_SI","ObservedDuration","OutOfSight","DurationSeen","WeightRank","QueueLength","QueueRank","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90","PartnerWeight","WeightDelay_Abs","CompNB_15","SameSex_CompNB_15","Date","FocalWeight","Weight_Diff","Partner_Weight_Min","Partner_NB"
"1","G10F011",2015-02-13,"Control","G10F009","F","Queen",6,"Gemsbok 10","Initiated",1,0,0,0,1,0,7,117,2,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,161,2,2,1,"13/02/2015",134,-27,161,1
"2","G10F011",2015-02-13,"Control","G10F009","F","Queen",6,"Gemsbok 10","Received",1,0,0,0,1,0,0,0,2,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,161,2,2,1,"13/02/2015",134,-27,161,1
"3","G10F011",2015-02-13,"Control","G10F015","F","Subordinate",7,"Gemsbok 10","Initiated",3,0,0,0,2,0,0,0,5,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,166,0,2,1,"13/02/2015",134,-32,166,5
"4","G10F011",2015-02-13,"Control","G10F015","F","Subordinate",7,"Gemsbok 10","Received",0,0,0,0,0,2,0,0,0,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,166,0,2,1,"13/02/2015",134,-32,166,5
"5","G10F011",2015-02-13,"Control","G10F023","F","Subordinate",7,"Gemsbok 10","Initiated",8,0,0,0,1,0,0,0,9,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,108,0,2,1,"13/02/2015",134,26,107,5
"6","G10F011",2015-02-13,"Control","G10F023","F","Subordinate",7,"Gemsbok 10","Received",0,0,0,0,2,1,0,0,2,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,108,0,2,1,"13/02/2015",134,26,107,5
"7","G10F011",2015-02-13,"Control","G10F024","F","Subordinate",11,"Gemsbok 10","Initiated",4,0,0,0,0,0,0,0,4,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,102,0,2,1,"13/02/2015",134,32,102,5
"8","G10F011",2015-02-13,"Control","G10F024","F","Subordinate",11,"Gemsbok 10","Received",6,0,0,0,1,0,0,0,7,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,102,0,2,1,"13/02/2015",134,32,102,5
"9","G10F011",2015-02-13,"Control","G10F025","F","Subordinate",9,"Gemsbok 10","Initiated",7,0,0,0,4,0,0,0,11,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,130,0,2,1,"13/02/2015",134,4,130,5
"10","G10F011",2015-02-13,"Control","G10F025","F","Subordinate",9,"Gemsbok 10","Received",4,0,0,0,0,0,0,0,4,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,130,0,2,1,"13/02/2015",134,4,130,5
"11","G10F011",2015-02-13,"Control","G10F026","F","Subordinate",5,"Gemsbok 10","Initiated",3,0,0,0,0,1,0,0,3,365.55,25.8833333333333,339.666666666667,12,7,3,16,16,16,15,15,71,2,2,1,"13/02/2015",134,63,71,5
