"DTB_Colony","AnimalID","Treatment","CollectionDelay","Testosterone","Weight","TreatmentAll"
"Gemsbok 10","G10F011","Control",56,6.553685185,134,"No T"
"Gemsbok 10","G10F011","Baseline",120,7.790840909,134,"No T"
"Gemsbok 10","G10F011","Thigh",211,11.60484,136,"Thigh"
"Gemsbok 10","G10F011","Tlow",5,5.10932636,142,"Tlow"
"Gemsbok 10","G10F015","Tlow",4,13.87697701,166,"Tlow"
"Gemsbok 10","G10F015","Baseline",50,5.542273973,166,"No T"
"Gemsbok 10","G10F015","Control",40,9.174398649,166,"No T"
"Gemsbok 10","G10F015","Thigh",212,15.23531579,172,"Thigh"
"Gemsbok 11","G11F003","Thigh",105,12.66125907,108,"Thigh"
"Gemsbok 11","G11F003","Baseline",70,4.339207031,108,"No T"
"Gemsbok 11","G11F003","Tlow",135,13.86929508,108,"Tlow"
"Gemsbok 11","G11F003","Control",141,7.153727064,107,"No T"
"Gemsbok 11","G11F010","Thigh",49,27.33432,108,"Thigh"
"Gemsbok 11","G11F010","Baseline",55,9.938805882,108,"No T"
"Gemsbok 11","G11F010","Control",50,14.10421552,105,"No T"
"Gemsbok 11","G11F010","Tlow",70,9.090193966,109,"Tlow"
"Gemsbok 11","G11F011","Tlow",49,7.370172727,129,"Tlow"
"Gemsbok 11","G11F011","Baseline",130,3.170584158,129,"No T"
"Gemsbok 11","G11F011","Thigh",50,19.75037037,123,"Thigh"
"Gemsbok 11","G11F011","Control",70,5.735353448,125,"No T"
"Gemsbok 11","G11F015","Control",105,9.783936842,115,"No T"
"Gemsbok 11","G11F015","Baseline",26,14.81685484,115,"No T"
"Gemsbok 11","G11F015","Thigh",25,19.86603535,114,"Thigh"
"Gemsbok 11","G11F015","Tlow",29,15.5425,117,"Tlow"
"Gemsbok 13","G13F001","Tlow",30,10.10809091,156,"Tlow"
"Gemsbok 13","G13F001","Baseline",8,3.721281553,156,"No T"
"Gemsbok 13","G13F001","Control",101,6.2777,163,"No T"
"Gemsbok 13","G13F001","Thigh",15,10.38683911,166,"Thigh"
"Gemsbok 13","G13F007","Thigh",30,12.376,173,"Thigh"
"Gemsbok 13","G13F007","Baseline",8,5.916034091,173,"No T"
"Gemsbok 13","G13F007","Tlow",101,5.392534483,173,"Tlow"
"Gemsbok 13","G13F007","Control",15,8.555838384,164,"No T"
"Gemsbok 3","G3F008","Control",119,51.78050236,138,"No T"
"Gemsbok 3","G3F008","Baseline",56,6.820142349,138,"No T"
