"SampleID","AnimalID","Delay","Manipulation","Testosterone","Treatment","Date","SampleDate","SampleDelay","TreatmentAll","Colony","WeightDelay_Abs","Weight","QueueLength","QueueRank","SameSex_CompNB","GroupSize","NB_Adults60","NB_Adults70","NB_Adults80","NB_Adults90","WeightRank","CompNB"
167,"G10F008",420,"Queen",0.049,"",2014-10-05,2014-10-05,NA,"Queen","Bennett",2,135,3,1,0,6,4,4,3,2,2,0
209,"G9F003",240,"Queen",0.044,"",2014-10-25,2014-10-25,NA,"Queen","Lyons",1,120,4,1,0,7,5,4,3,2,1,0
260,"G3F009",460,"Queen",0.037,"",2014-11-14,2014-11-14,NA,"Queen","Crick",2,157.5,4,1,0,7,6,5,5,5,3,1
658,"G3F011",185,"Focal",0.432,"Thigh",2015-02-06,2015-02-07,1,"Thigh","Gemsbok 3",0,154,6,1,1,13,10,10,9,9,5,2
659,"G3F008",390,"Focal",0.025,"Control",2015-02-06,2015-02-07,1,"Control","Gemsbok 3",0,138,6,3,2,13,10,10,9,9,7,2
700,"G13F001",227,"Focal",0.191,"Tlow",2015-02-11,2015-02-12,1,"Tlow","Gemsbok 13",0,156,7,3,1,10,9,9,9,9,5,1
701,"G13F007",275,"Focal",0.471,"Thigh",2015-02-11,2015-02-12,1,"Thigh","Gemsbok 13",0,173,7,1,0,10,9,9,9,9,3,2
705,"G10F011",315,"Focal",0.017,"Control",2015-02-13,2015-02-14,1,"Control","Gemsbok 10",0,134,7,3,1,16,16,16,15,15,12,2
706,"G10F015",345,"Focal",0.111,"Tlow",2015-02-13,2015-02-14,1,"Tlow","Gemsbok 10",0,166,7,1,1,16,16,16,15,15,6,8
741,"G11F011",255,"Focal",0.445,"Tlow",2015-02-18,2015-02-19,1,"Tlow","Gemsbok 11",0,129,7,2,1,13,12,11,11,10,6,2
742,"G11F010",235,"Focal",0.825,"Thigh",2015-02-18,2015-02-19,1,"Thigh","Gemsbok 11",0,108,7,4,2,13,12,11,11,10,8,2
745,"G3F011",167,"Focal",0.101,"Control",2015-02-20,2015-02-21,1,"Control","Gemsbok 3",0,149,6,1,2,13,10,10,9,9,5,2
746,"G3F008",300,"Focal",0.257,"Tlow",2015-02-20,2015-02-21,1,"Tlow","Gemsbok 3",0,143,6,3,2,13,10,10,9,9,7,2
763,"G13F001",250,"Focal",0.028,"Control",2015-02-25,2015-02-26,1,"Control","Gemsbok 13",0,163,7,3,1,10,9,9,9,9,5,1
764,"G13F007",180,"Focal",0.241,"Tlow",2015-02-25,2015-02-26,1,"Tlow","Gemsbok 13",0,173,7,1,1,10,9,9,9,9,3,2
